text,env
"The case reached its conclusion in 2018 when Ecuador’s Constitutional Court, in an 8-0 decision, confirmed a $9.5 billion judgment against Chevron.",1
"PCI covers the full value chain emissions of our products, from production to use by customers.",1
"Chevron representatives carry the Chevron risk management approach described above in their engagement with Chevron Phillips Chemical, and Chevron Phillips Chemical is committed to sustainable practices throughout all of its businesses.",1
"For example, spills from a Chevron well in California seeped over 900,000 gallons of crude oil and water in 2019, generating a $2.7 million fine for failure to operate with good practice and harm to human health and the environment.",1
"Through the Responsible Care® initiative and the Responsible Care Global Charter, the chemicals industry has made a commitment to improve its environmental, health, safety and security performance and to design and operate facilities in a safe, secure and environmentally sound manner.",1
"We, the shareholders, must protect our assets against devastating climate change, and we therefore support companies to substantially reduce greenhouse gas (GHG) emissions.",1
Chevron is one of the highest greenhouse gas emitting companies in the world.,1
"Flood-related damage is projected to be highest in Texas, where many of CPChem’s petrochemical plants are concentrated, and Houston alone has seen three 500-year floods in a three-year span.",1
Providing leadership for the full board’s climate deliberations;,1
assess the degree to which any differences would alter estimates of the Company’s Scope 1 emissions.,1
The world’s leading international scientific bodies recently released reports which clearly state the need for deep cuts in emissions in order to limit global warming to safe levels.,1
"Also within the OEMS, the Environmental, Social and Health Impact Assessment (“ESHIA”) process is designed to systematically identify and address project-related environmental, social and health impacts, including impacts to natural resources, air quality, and community health.",1
The policies of the energy industry are crucial to curbing climate change.,1
